first_name,second_name,element_type,year,total_points,gw,prev_total_points,prev_goals_scored,prev_assists,prev_minutes,prev_goals_conceded,prev_creativity,prev_influence,prev_threat,prev_bonus,prev_ict_index,prev_clean_sheets,prev_cards_per_90,prev_points_per_90,prev_season_played,matches,current_total_points,current_goals_scored,current_assists,current_minutes,current_goals_conceded,current_creativity,current_influence,current_threat,current_bonus,current_ict_index,current_clean_sheets,current_cards_per_90,current_points_per_90
Rúnar Alex,Rúnarsson,GK,2021-22,0,9,1.0,0.0,0.0,15.0,0.0,0.0,16.6,0.0,0.0,1.7,0.0,0.0,0.0,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Rúnar Alex,Rúnarsson,GK,2021-22,0,10,1.0,0.0,0.0,15.0,0.0,0.0,16.6,0.0,0.0,1.7,0.0,0.0,0.0,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Rúnar Alex,Rúnarsson,GK,2021-22,0,11,1.0,0.0,0.0,15.0,0.0,0.0,16.6,0.0,0.0,1.7,0.0,0.0,0.0,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Rúnar Alex,Rúnarsson,GK,2021-22,0,12,1.0,0.0,0.0,15.0,0.0,0.0,16.6,0.0,0.0,1.7,0.0,0.0,0.0,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Rúnar Alex,Rúnarsson,GK,2021-22,0,13,1.0,0.0,0.0,15.0,0.0,0.0,16.6,0.0,0.0,1.7,0.0,0.0,0.0,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Rúnar Alex,Rúnarsson,GK,2021-22,0,14,1.0,0.0,0.0,15.0,0.0,0.0,16.6,0.0,0.0,1.7,0.0,0.0,0.0,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Rúnar Alex,Rúnarsson,GK,2021-22,0,15,1.0,0.0,0.0,15.0,0.0,0.0,16.6,0.0,0.0,1.7,0.0,0.0,0.0,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Rúnar Alex,Rúnarsson,GK,2021-22,0,16,1.0,0.0,0.0,15.0,0.0,0.0,16.6,0.0,0.0,1.7,0.0,0.0,0.0,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Rúnar Alex,Rúnarsson,GK,2021-22,0,17,1.0,0.0,0.0,15.0,0.0,0.0,16.6,0.0,0.0,1.7,0.0,0.0,0.0,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Rúnar Alex,Rúnarsson,GK,2021-22,0,18,1.0,0.0,0.0,15.0,0.0,0.0,16.6,0.0,0.0,1.7,0.0,0.0,0.0,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Rúnar Alex,Rúnarsson,GK,2021-22,0,19,1.0,0.0,0.0,15.0,0.0,0.0,16.6,0.0,0.0,1.7,0.0,0.0,0.0,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Rúnar Alex,Rúnarsson,GK,2021-22,0,21,1.0,0.0,0.0,15.0,0.0,0.0,16.6,0.0,0.0,1.7,0.0,0.0,0.0,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Rúnar Alex,Rúnarsson,GK,2021-22,0,23,1.0,0.0,0.0,15.0,0.0,0.0,16.6,0.0,0.0,1.7,0.0,0.0,0.0,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Rúnar Alex,Rúnarsson,GK,2021-22,0,24,1.0,0.0,0.0,15.0,0.0,0.0,16.6,0.0,0.0,1.7,0.0,0.0,0.0,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Rúnar Alex,Rúnarsson,GK,2021-22,0,26,1.0,0.0,0.0,15.0,0.0,0.0,16.6,0.0,0.0,1.7,0.0,0.0,0.0,True,2,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Rúnar Alex,Rúnarsson,GK,2021-22,0,28,1.0,0.0,0.0,15.0,0.0,0.0,16.6,0.0,0.0,1.7,0.0,0.0,0.0,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Rúnar Alex,Rúnarsson,GK,2021-22,0,29,1.0,0.0,0.0,15.0,0.0,0.0,16.6,0.0,0.0,1.7,0.0,0.0,0.0,True,2,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Rúnar Alex,Rúnarsson,GK,2021-22,0,30,1.0,0.0,0.0,15.0,0.0,0.0,16.6,0.0,0.0,1.7,0.0,0.0,0.0,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Rúnar Alex,Rúnarsson,GK,2021-22,0,31,1.0,0.0,0.0,15.0,0.0,0.0,16.6,0.0,0.0,1.7,0.0,0.0,0.0,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Rúnar Alex,Rúnarsson,GK,2021-22,0,32,1.0,0.0,0.0,15.0,0.0,0.0,16.6,0.0,0.0,1.7,0.0,0.0,0.0,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Rúnar Alex,Rúnarsson,GK,2021-22,0,33,1.0,0.0,0.0,15.0,0.0,0.0,16.6,0.0,0.0,1.7,0.0,0.0,0.0,True,2,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Rúnar Alex,Rúnarsson,GK,2021-22,0,34,1.0,0.0,0.0,15.0,0.0,0.0,16.6,0.0,0.0,1.7,0.0,0.0,0.0,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Rúnar Alex,Rúnarsson,GK,2021-22,0,35,1.0,0.0,0.0,15.0,0.0,0.0,16.6,0.0,0.0,1.7,0.0,0.0,0.0,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Rúnar Alex,Rúnarsson,GK,2021-22,0,36,1.0,0.0,0.0,15.0,0.0,0.0,16.6,0.0,0.0,1.7,0.0,0.0,0.0,True,2,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Rúnar Alex,Rúnarsson,GK,2021-22,0,37,1.0,0.0,0.0,15.0,0.0,0.0,16.6,0.0,0.0,1.7,0.0,0.0,0.0,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Rúnar Alex,Rúnarsson,GK,2021-22,0,38,1.0,0.0,0.0,15.0,0.0,0.0,16.6,0.0,0.0,1.7,0.0,0.0,0.0,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Willian,Borges Da Silva,MID,2021-22,0,1,78.0,1.0,7.0,1398.0,17.0,534.8,256.2,228.0,9.0,102.3,3.0,0.0,5.02,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Willian,Borges Da Silva,MID,2021-22,0,2,78.0,1.0,7.0,1398.0,17.0,534.8,256.2,228.0,9.0,102.3,3.0,0.0,5.02,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Willian,Borges Da Silva,MID,2021-22,0,3,78.0,1.0,7.0,1398.0,17.0,534.8,256.2,228.0,9.0,102.3,3.0,0.0,5.02,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Willian,Borges Da Silva,MID,2021-22,0,4,78.0,1.0,7.0,1398.0,17.0,534.8,256.2,228.0,9.0,102.3,3.0,0.0,5.02,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Willian,Borges Da Silva,MID,2021-22,0,5,78.0,1.0,7.0,1398.0,17.0,534.8,256.2,228.0,9.0,102.3,3.0,0.0,5.02,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Willian,Borges Da Silva,MID,2021-22,0,6,78.0,1.0,7.0,1398.0,17.0,534.8,256.2,228.0,9.0,102.3,3.0,0.0,5.02,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Willian,Borges Da Silva,MID,2021-22,0,7,78.0,1.0,7.0,1398.0,17.0,534.8,256.2,228.0,9.0,102.3,3.0,0.0,5.02,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Willian,Borges Da Silva,MID,2021-22,0,8,78.0,1.0,7.0,1398.0,17.0,534.8,256.2,228.0,9.0,102.3,3.0,0.0,5.02,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Willian,Borges Da Silva,MID,2021-22,0,9,78.0,1.0,7.0,1398.0,17.0,534.8,256.2,228.0,9.0,102.3,3.0,0.0,5.02,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Willian,Borges Da Silva,MID,2021-22,0,10,78.0,1.0,7.0,1398.0,17.0,534.8,256.2,228.0,9.0,102.3,3.0,0.0,5.02,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Willian,Borges Da Silva,MID,2021-22,0,11,78.0,1.0,7.0,1398.0,17.0,534.8,256.2,228.0,9.0,102.3,3.0,0.0,5.02,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Willian,Borges Da Silva,MID,2021-22,0,12,78.0,1.0,7.0,1398.0,17.0,534.8,256.2,228.0,9.0,102.3,3.0,0.0,5.02,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Willian,Borges Da Silva,MID,2021-22,0,13,78.0,1.0,7.0,1398.0,17.0,534.8,256.2,228.0,9.0,102.3,3.0,0.0,5.02,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Willian,Borges Da Silva,MID,2021-22,0,14,78.0,1.0,7.0,1398.0,17.0,534.8,256.2,228.0,9.0,102.3,3.0,0.0,5.02,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Willian,Borges Da Silva,MID,2021-22,0,15,78.0,1.0,7.0,1398.0,17.0,534.8,256.2,228.0,9.0,102.3,3.0,0.0,5.02,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Willian,Borges Da Silva,MID,2021-22,0,16,78.0,1.0,7.0,1398.0,17.0,534.8,256.2,228.0,9.0,102.3,3.0,0.0,5.02,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Willian,Borges Da Silva,MID,2021-22,0,17,78.0,1.0,7.0,1398.0,17.0,534.8,256.2,228.0,9.0,102.3,3.0,0.0,5.02,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Willian,Borges Da Silva,MID,2021-22,0,18,78.0,1.0,7.0,1398.0,17.0,534.8,256.2,228.0,9.0,102.3,3.0,0.0,5.02,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Willian,Borges Da Silva,MID,2021-22,0,19,78.0,1.0,7.0,1398.0,17.0,534.8,256.2,228.0,9.0,102.3,3.0,0.0,5.02,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Willian,Borges Da Silva,MID,2021-22,0,21,78.0,1.0,7.0,1398.0,17.0,534.8,256.2,228.0,9.0,102.3,3.0,0.0,5.02,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Willian,Borges Da Silva,MID,2021-22,0,23,78.0,1.0,7.0,1398.0,17.0,534.8,256.2,228.0,9.0,102.3,3.0,0.0,5.02,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Willian,Borges Da Silva,MID,2021-22,0,24,78.0,1.0,7.0,1398.0,17.0,534.8,256.2,228.0,9.0,102.3,3.0,0.0,5.02,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
