first_name,second_name,element_type,total_points,goals_scored,assists,minutes,goals_conceded,creativity,influence,threat,bonus,ict_index,clean_sheets,cards_per_90,points_per_90
William,Saliba,DEF,117,2,1,2415,25,100.8,529.0,114.0,14,74.5,12,0.15,4.36
Marcus,Oliveira Alencar,MID,1,0,0,1,0,0.2,0.0,0.0,0,0.0,0,0.0,0.0
Gabriel,Fernando de Jesus,FWD,125,11,7,2064,23,407.3,594.2,1282.0,17,228.3,9,0.26,5.45
Leandro,Trossard,MID,154,8,13,2237,38,687.1,620.0,859.0,8,216.6,8,0.04,6.2
Jorge Luiz,Frello Filho,MID,79,2,2,2127,23,254.1,386.4,97.0,5,73.9,9,0.17,3.34
Oleksandr,Zinchenko,DEF,99,1,2,2122,28,387.7,405.0,190.0,8,98.3,10,0.13,4.2
Matthew,Smith,MID,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Ethan,Nwaneri,MID,1,0,0,1,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Lino,Sousa,DEF,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Karl,Hein,GK,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Amario,Cozier-Duberry,MID,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Nathan,Butler-Oyedeji,FWD,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Jakub,Kiwior,DEF,26,1,0,425,6,4.1,53.6,4.0,1,6.3,2,0.0,5.51
Reuell,Walters,DEF,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Mauro,Bandeira,MID,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Philippe,Coutinho Correia,MID,32,1,0,777,9,152.5,119.2,218.0,1,48.8,3,0.35,3.71
Emiliano,Martínez Romero,GK,135,0,0,3139,38,23.0,813.0,0.0,15,83.5,11,0.2,3.87
Calum,Chambers,DEF,13,0,0,345,4,29.8,74.4,8.0,0,11.1,0,0.52,3.39
Lucas,Digne,DEF,50,1,0,1492,25,293.3,271.4,92.0,4,65.8,3,0.3,3.02
Bertrand,Traoré,MID,20,2,0,226,1,30.7,82.0,79.0,1,19.0,1,0.0,0.0
Robin,Olsen,GK,10,0,0,280,8,0.0,83.2,0.0,1,8.2,1,0.0,3.21
Morgan,Sanson,MID,2,0,0,10,1,0.5,4.2,0.0,0,0.4,0,0.0,0.0
John,McGinn,MID,90,1,5,2692,31,349.2,375.0,326.0,3,105.1,10,0.23,3.01
Kortney,Hause,DEF,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Tyrone,Mings,DEF,130,1,3,3150,40,87.7,657.2,121.0,17,87.0,12,0.2,3.71
Ollie,Watkins,FWD,175,15,8,3129,40,408.5,792.0,1268.0,25,247.0,13,0.12,5.03
